threshold,precision,recall,f1,alerts,detected,true_negatives,false_positives,false_negatives,true_positives
0.5,0.7309941520467836,0.03024437454633438,0.05808550185873606,171,125,113929,46,4008,125
0.45,0.7224334600760456,0.04597144931042826,0.08644222020018198,263,190,113902,73,3943,190
0.4,0.6766304347826086,0.06024679409629809,0.11064207953788047,368,249,113856,119,3884,249
0.35,0.6098807495741057,0.08661988870070167,0.15169491525423728,587,358,113746,229,3775,358
0.3,0.538928210313448,0.1289620130655698,0.20812182741116753,989,533,113519,456,3600,533
0.25,0.4477987421383648,0.17227195741592063,0.24882054866328848,1590,712,113097,878,3421,712
0.2,0.3707865168539326,0.24751996128720058,0.2968659315147998,2759,1023,112239,1736,3110,1023
0.15,0.29381898454746136,0.3220421001693685,0.3072838508599792,4530,1331,110776,3199,2802,1331
0.1,0.2206509813482872,0.43793854343092187,0.2934500648508431,8203,1810,107582,6393,2323,1810
0.05,0.1404827859121488,0.6012581659811275,0.22775181009989917,17689,2485,98771,15204,1648,2485
